Nombre;Commande
1;"\Activité de la carte d’interface réseau physique(*)\Transitions vers faible consommation d’énergie (vie entière)"
1;"\Activité de la carte d’interface réseau physique(*)\% temps d’interruption (vie entière)"
1;"\Activité de la carte d’interface réseau physique(*)\% temps d’interruption (instantané)"
1;"\Activité de la carte d’interface réseau physique(*)\État d’alimentation du périphérique"
2;"\Activité du disque système de fichiers(*)\Octets écrits par le système de fichiers"
2;"\Activité du disque système de fichiers(*)\Octets lus par le système de fichiers"
3;"\BitLocker(*)\Sous-requêtes d'écriture/s"
3;"\BitLocker(*)\Requêtes d'écriture/s"
3;"\BitLocker(*)\Sous-requêtes de lecture/s"
3;"\BitLocker(*)\Requêtes de lecture/s"
3;"\BitLocker(*)\Taille de fractionnement d'écriture maximale"
3;"\BitLocker(*)\Taille de fractionnement d'écriture minimale"
3;"\BitLocker(*)\Taille de fractionnement de lecture maximale"
3;"\BitLocker(*)\Taille de fractionnement de lecture minimale"
4;"\Carte réseau(*)\Total des octets/s"
4;"\Carte réseau(*)\Paquets/s"
4;"\Carte réseau(*)\Paquets reçus/s"
4;"\Carte réseau(*)\Paquets envoyés/s"
4;"\Carte réseau(*)\Bande passante actuelle"
5;"\Partages de clients SMB(*)\Demandes compressées réussies/s"
5;"\Partages de clients SMB(*)\Octets compressés envoyés/s"
5;"\Partages de clients SMB(*)\Réponses compressées/s"
