Nombre;Commande
1;"\Activité de la carte d’interface réseau physique(*)\Transitions vers faible consommation d’énergie (vie entière)"
1;"\Activité de la carte d’interface réseau physique(*)\% temps d’interruption (vie entière)"
1;"\Activité de la carte d’interface réseau physique(*)\% temps d’interruption (instantané)"
1;"\Activité de la carte d’interface réseau physique(*)\État d’alimentation du périphérique"
2;"\Activité du disque système de fichiers(*)\Octets écrits par le système de fichiers"
2;"\Activité du disque système de fichiers(*)\Octets lus par le système de fichiers"
3;"\BitLocker(*)\Sous-requêtes d'écriture/s"
3;"\BitLocker(*)\Requêtes d'écriture/s"
3;"\BitLocker(*)\Sous-requêtes de lecture/s"
3;"\BitLocker(*)\Requêtes de lecture/s"
3;"\BitLocker(*)\Taille de fractionnement d'écriture maximale"
3;"\BitLocker(*)\Taille de fractionnement d'écriture minimale"
3;"\BitLocker(*)\Taille de fractionnement de lecture maximale"
3;"\BitLocker(*)\Taille de fractionnement de lecture minimale"
4;"\Carte réseau(*)\Total des octets/s"
4;"\Carte réseau(*)\Paquets/s"
4;"\Carte réseau(*)\Paquets reçus/s"
4;"\Carte réseau(*)\Paquets envoyés/s"
4;"\Carte réseau(*)\Bande passante actuelle"
4;"\Carte réseau(*)\Octets reçus/s"
4;"\Carte réseau(*)\Paquets monodiffusion reçus/s"
4;"\Carte réseau(*)\Paquets non monodiffusion reçus/s"
4;"\Carte réseau(*)\Paquets reçus et rejetés"
4;"\Carte réseau(*)\Paquets reçus, erreurs"
4;"\Carte réseau(*)\Paquets reçus, inconnus"
4;"\Carte réseau(*)\Octets envoyés/s"
4;"\Carte réseau(*)\Paquets monodiffusion envoyés/s"
4;"\Carte réseau(*)\Paquets non monodiffusion envoyés/s"
4;"\Carte réseau(*)\Connexions TCP RSC actives"
4;"\Carte réseau(*)\Taille moyenne des paquets TCP RSC"
5;"\Client LDAP(*)\Réponses : réponses d'interrogation d'échec/s"
5;"\Client LDAP(*)\Réponses : réponses d'interrogation réussies/s"
5;"\Client LDAP(*)\Réponses : réponses en attente"
5;"\Client LDAP(*)\Réponses : temps de réponse moyen"
5;"\Client LDAP(*)\Réponses : réponses d'échec/s"
5;"\Client LDAP(*)\Réponses : réponses réussies/s"
5;"\Client LDAP(*)\Opérations : abandons/s"
5;"\Client LDAP(*)\Opérations : suppressions/s"
5;"\Client LDAP(*)\Opérations : ajouts/s"
5;"\Client LDAP(*)\Liaisons : liaisons de négociation/s"
5;"\Client LDAP(*)\Liaisons : liaisons NTLM/s"
5;"\Client LDAP(*)\Liaisons : liaisons Digest/s"
5;"\Client LDAP(*)\Liaisons : liaisons simples/s"
5;"\Client LDAP(*)\Liaisons : nombre total de liaisons/s"
5;"\Client LDAP(*)\Opérations : Modification/s"
5;"\Client LDAP(*)\Recherches : recherches de sous-arborescence/s"
5;"\Client LDAP(*)\Recherches : recherches dans le dossier parent/s"
5;"\Client LDAP(*)\Recherches : recherches de base/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions TLS/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions UDP/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions TCP/s"
5;"\Client LDAP(*)\Demandes : nouvelles demandes/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions/s"
5;"\Client LDAP(*)\Demandes : nombre de demandes"
5;"\Client LDAP(*)\Connexions : connexions ouvertes"
6;"\Disque logique(*)\% d'espace libre"
6;"\Disque logique(*)\Mégaoctets libres"
6;"\Disque logique(*)\Pourcentage du temps disque"
6;"\Disque logique(*)\Longueur moyenne de file d'attente du disque"
6;"\Disque logique(*)\Pourcentage du temps de lecture du disque"
6;"\Disque logique(*)\Longueur moyenne de file d'attente lecture disque"
6;"\Disque logique(*)\Pourcentage du temps écriture du disque"
6;"\Disque logique(*)\Longueur moyenne de file d'attente écriture disque"
6;"\Disque logique(*)\Moyenne disque s/transfert"
6;"\Disque logique(*)\Moyenne disque s/lecture"
6;"\Disque logique(*)\Moyenne disque s/écriture"
6;"\Disque logique(*)\Transferts disque/s"
6;"\Disque logique(*)\Lectures disque/s"
6;"\Disque logique(*)\Écritures disque/s"
6;"\Disque logique(*)\Moyenne disque, octets/transfert"
6;"\Disque logique(*)\Moyenne disque, octets/lecture"
6;"\Disque logique(*)\Moyenne disque, octets/écriture"
6;"\Disque logique(*)\% d'inactivité"
6;"\Disque logique(*)\E/S partagées/s"
7;"\Disque physique(*)\Pourcentage du temps disque"
7;"\Disque physique(*)\Longueur moyenne de file d'attente du disque"
7;"\Disque physique(*)\Pourcentage du temps de lecture du disque"
7;"\Disque physique(*)\Pourcentage du temps écriture du disque"
7;"\Disque physique(*)\Longueur moyenne de file d'attente écriture disque"
7;"\Disque physique(*)\Moyenne disque s/transfert"
7;"\Disque physique(*)\Moyenne disque s/lecture"
7;"\Disque physique(*)\Moyenne disque s/écriture"
7;"\Disque physique(*)\Transferts disque/s"
7;"\Disque physique(*)\Lectures disque/s"
7;"\Disque physique(*)\Écritures disque/s"
7;"\Disque physique(*)\Octets disque/s"
7;"\Disque physique(*)\Lectures disque, octets/s"
7;"\Disque physique(*)\Écritures disque, octets/s"
7;"\Disque physique(*)\Moyenne disque, octets/transfert"
7;"\Disque physique(*)\Moyenne disque, octets/lecture"
7;"\Disque physique(*)\Moyenne disque, octets/écriture"
7;"\Disque physique(*)\% d'inactivité"
7;"\Disque physique(*)\E/S partagées/s"
8;"\Fichier d'échange(*)\Pourcentage d'utilisation"
8;"\Fichier d'échange(*)\Usage maximal"
9;"\GPU Adapter Memory(*)\Shared Usage"
9;"\GPU Adapter Memory(*)\Dedicated Usage"
9;"\GPU Adapter Memory(*)\Total Committed"
10;"\GPU Engine(*)\Utilization Percentage"
10;"\GPU Engine(*)\Running Time"
11;"\GPU Local Adapter Memory(*)\Local Usage"
12;"\GPU Process Memory(*)\Shared Usage"
12;"\GPU Process Memory(*)\Dedicated Usage"
12;"\GPU Process Memory(*)\Non Local Usage"
12;"\GPU Process Memory(*)\Local Usage"
12;"\GPU Process Memory(*)\Total Committed"
13;"\ICMP\Messages/s"
13;"\ICMP\Messages reçus/s"
13;"\ICMP\Messages reçus, erreurs"
13;"\ICMP\Reçus avec destination inaccessible"
13;"\ICMP\Reçus avec temps dépassé"
13;"\ICMP\Reçus avec problème de paramètre"
13;"\ICMP\Reçus avec redirection/s"
13;"\ICMP\Reçus avec écho/s"
13;"\ICMP\Reçus avec réponse à écho/s"
13;"\ICMP\Reçus avec horodateur/s"
13;"\ICMP\Reçus avec réponse à horodateur/s"
13;"\ICMP\Reçus avec masque d'adresse"
13;"\ICMP\Reçus avec réponse à masque d'adresse"
13;"\ICMP\Messages envoyés/s"
13;"\ICMP\Messages envoyés, erreurs"
13;"\ICMP\Envoyés destination inaccessible"
13;"\ICMP\Envoyés temps dépassé"
13;"\ICMP\Envoyés problème de paramètre"
13;"\ICMP\Envoyés extinction de source"
13;"\ICMP\Envoyés avec redirection/s"
13;"\ICMP\Envoyés avec écho/s"
13;"\ICMP\Envoyés avec réponse à écho/s"
13;"\ICMP\Envoyés avec horodateur/s"
13;"\ICMP\Envoyés avec rép. à horodateur/s"
13;"\ICMP\Envoyés avec masque d'adresse"
13;"\ICMP\Envoyés avec rép. à masque d'adresse"
14;"\Indexeur de recherche(*)\Niveau de l'index principal."
14;"\Indexeur de recherche(*)\Fusions principales à ce jour"
14;"\Indexeur de recherche(*)\Fusion principale en cours"
14;"\Indexeur de recherche(*)\Niveaux de fusion virtuelle"
14;"\Indexeur de recherche(*)\Seuil des niveaux de fusion virtuelle"
14;"\Indexeur de recherche(*)\Index permanents"
14;"\Indexeur de recherche(*)\Taille de l'index"
15;"\Informations de zone thermique(*)\Température de haute précision"
15;"\Informations de zone thermique(*)\Motifs de la limitation"
15;"\Informations de zone thermique(*)\% de la limite passive"
15;"\Informations de zone thermique(*)\Température"
15;"\Informations sur le processeur(*)\Indicateurs de limite de performances"
15;"\Informations sur le processeur(*)\% de la limite de performances"
15;"\Informations sur le processeur(*)\Pourcentage de rendement privilégié"
15;"\Informations sur le processeur(*)\Pourcentage de rendement du processeur"
15;"\Informations sur le processeur(*)\Pourcentage de performances du processeur"
15;"\Informations sur le processeur(*)\Événements de sortie d'inactivité/seconde"
15;"\Informations sur le processeur(*)\Temps moyen d'inactivité"
15;"\Informations sur le processeur(*)\Interruptions d'horloge/seconde"
15;"\Informations sur le processeur(*)\Indicateurs de l'état du processeur"
15;"\Informations sur le processeur(*)\% de fréquence maximale"
15;"\Informations sur le processeur(*)\Fréquence du processeur"
15;"\Informations sur le processeur(*)\État de parcage"
15;"\Informations sur le processeur(*)\% Temps de priorité"
15;"\Informations sur le processeur(*)\C3 Transitions/s"
15;"\Informations sur le processeur(*)\C2 Transitions/s"
15;"\Informations sur le processeur(*)\C1 Transitions/s"
15;"\Informations sur le processeur(*)\% durée C3"
15;"\Informations sur le processeur(*)\% durée C2"
15;"\Informations sur le processeur(*)\% durée C1"
15;"\Informations sur le processeur(*)\% d'inactivité"
15;"\Informations sur le processeur(*)\Taux DPC"
15;"\Informations sur le processeur(*)\DPC mis en file d'attente/s"
15;"\Informations sur le processeur(*)\% temps d'interruption"
15;"\Informations sur le processeur(*)\% Temps DPC"
15;"\Informations sur le processeur(*)\Interruptions/s"
15;"\Informations sur le processeur(*)\% temps privilégié"
15;"\Informations sur le processeur(*)\% temps utilisateur"
15;"\Informations sur le processeur(*)\% temps processeur"
16;"\Interface réseau(*)\Total des octets/s"
16;"\Interface réseau(*)\Paquets/s"
16;"\Interface réseau(*)\Paquets reçus/s"
16;"\Interface réseau(*)\Paquets envoyés/s"
16;"\Interface réseau(*)\Bande passante actuelle"
